index,ticker,eff_date,anchor_date,ann_date,kind,anchor_close,adr20,ext21_adr,runup_ann_to_anchor_pct,pre_bars,post_bars,reason
SP500,RDDT,2026-08-18,2026-08-17,,replacement,164.5,5.995,-0.177,,603,23,Equity Residential (now Vivmark Residential) acquired AvalonBay Communities.
SP500,FERG,2026-08-05,2026-08-04,2026-07-31,replacement,254.5603,2.679,3.362,12.878,1907,32,"An investor consortium comprising Saudi Arabia's Public Investment Fund (PIF), Silver Lake, and Affinity Partners acquir"
SP500,MRVL,2026-06-22,2026-06-18,2026-06-05,rebalance,310.5034,10.159,2.019,-1.849,1876,63,Market capitalization changes.
SP500,FLEX,2026-06-22,2026-06-18,2026-06-05,rebalance,147.61,6.049,0.439,-7.46,1876,63,Market capitalization changes.
NDX,ALAB,2026-06-22,2026-06-18,2026-06-11,rebalance,417.07,9.371,2.503,26.056,564,63,Quarterly index reconstitution. Nasdaq-100 moved to a regular quarterly rebalancing schedule.
NDX,CRWV,2026-06-22,2026-06-18,2026-06-11,rebalance,117.95,7.265,1.215,23.366,308,63,Quarterly index reconstitution. Nasdaq-100 moved to a regular quarterly rebalancing schedule.
NDX,NBIS,2026-06-22,2026-06-18,2026-06-11,rebalance,286.69,9.881,2.14,35.429,416,63,Quarterly index reconstitution. Nasdaq-100 moved to a regular quarterly rebalancing schedule.
NDX,RKLB,2026-06-22,2026-06-18,2026-06-11,rebalance,107.24,8.544,-0.596,2.085,1397,63,Quarterly index reconstitution. Nasdaq-100 moved to a regular quarterly rebalancing schedule.
NDX,TER,2026-06-22,2026-06-18,2026-06-11,rebalance,437.7519,6.794,1.875,25.988,1876,63,Quarterly index reconstitution. Nasdaq-100 moved to a regular quarterly rebalancing schedule.
NDX,LITE,2026-05-18,2026-05-15,,rebalance,970.7,8.025,0.564,,1853,86,CoStar did not meet the minimum monthly weight requirements.
SP500,VEEV,2026-05-07,2026-05-06,2026-04-30,replacement,167.35,4.161,0.152,5.77,1846,93,Devon Energy acquired Coterra Energy.
NDX,SNDK,2026-04-20,2026-04-17,,rebalance,920.99,8.142,2.057,,295,106,Atlassian did not meet the minimum monthly weight requirements.
SP500,CASY,2026-04-09,2026-04-08,2026-04-06,replacement,757.2764,2.974,2.279,2.011,1826,113,Blackstone Inc. and TPG Inc. acquired Hologic.
SP500,VRT,2026-03-23,2026-03-20,2026-03-06,rebalance,255.7641,5.046,0.172,2.479,1814,125,Market capitalization changes.
SP500,LITE,2026-03-23,2026-03-20,2026-03-06,rebalance,706.35,9.767,0.848,8.532,1814,125,Market capitalization changes.
SP500,COHR,2026-03-23,2026-03-20,2026-03-06,rebalance,253.63,8.706,0.138,-0.095,1814,125,Market capitalization changes.
SP500,CIEN,2026-02-09,2026-02-06,2026-02-04,replacement,271.32,7.693,1.16,-1.881,1785,154,Thoma Bravo L.P. acquired Dayforce.
NDX,WMT,2026-01-20,2026-01-16,,other,118.9426,1.77,2.178,,1771,168,Walmart transferred its listing from NYSE to NASDAQ and replaced AstraZeneca in the index. AstraZeneca was preparing to 
NDX,FER,2025-12-22,2025-12-19,2025-12-13,rebalance,65.7458,1.606,0.537,-0.539,1753,186,Annual index reconstitution.
NDX,WDC,2025-12-22,2025-12-19,2025-12-13,rebalance,180.8881,6.514,1.227,2.688,1753,186,Annual index reconstitution.
NDX,STX,2025-12-22,2025-12-19,2025-12-13,rebalance,294.8596,5.717,1.06,3.032,1753,186,Annual index reconstitution.
NDX,MPWR,2025-12-22,2025-12-19,2025-12-13,rebalance,932.2386,3.716,-0.219,-0.993,1753,186,Annual index reconstitution.
NDX,INSM,2025-12-22,2025-12-19,2025-12-13,rebalance,174.84,3.811,-2.464,-11.253,1753,186,Annual index reconstitution.
SP500,CRH,2025-12-22,2025-12-19,2025-12-05,rebalance,123.0409,2.322,0.791,2.784,1753,186,Market capitalization changes.
NDX,ALNY,2025-12-22,2025-12-19,2025-12-13,rebalance,400.23,3.893,-1.292,0.674,1753,186,Annual index reconstitution.
SP500,FIX,2025-12-22,2025-12-19,,rebalance,939.3967,5.247,-0.271,,1753,186,Market capitalization changes.
SP500,CVNA,2025-12-22,2025-12-19,,rebalance,90.044,5.067,1.55,,1753,186,Market capitalization changes.
SP500,ARES,2025-12-11,2025-12-10,2025-12-10,replacement,171.1987,3.231,3.636,1.18,1746,193,Mars Inc. acquired Kellanova.
SP500,SNDK,2025-11-28,2025-11-26,,replacement,215.04,12.27,-0.102,,199,202,Omnicom Group acquired (The) Interpublic Group.
SP500,EME,2025-09-22,2025-09-19,2025-09-05,rebalance,630.7687,2.552,0.54,-1.335,1689,250,Market capitalization changes.
SP500,HOOD,2025-09-22,2025-09-19,2025-09-05,rebalance,124.78,4.547,2.205,21.252,1041,250,Market capitalization changes.
SP500,APP,2025-09-22,2025-09-19,2025-09-05,rebalance,649.59,4.427,4.482,29.926,1114,250,Market capitalization changes.
SP500,IBKR,2025-08-28,2025-08-27,2025-08-25,replacement,61.4513,3.022,-0.659,-0.978,1673,266,Sycamore Partners acquired Walgreen Boots Alliance.
NDX,TRI,2025-07-28,2025-07-25,,other,194.5505,1.854,0.056,,1650,289,Thomson Reuters transferred its listing from NYSE to NASDAQ and replaced Ansys in the index.
SP500,XYZ,2025-07-23,2025-07-22,2025-07-18,replacement,79.27,3.108,4.565,12.074,1647,292,Chevron acquired Hess.
SP500,TTD,2025-07-18,2025-07-17,2025-07-14,replacement,81.44,3.415,2.532,8.039,1644,295,Synopsys acquired Ansys.
SP500,DDOG,2025-07-09,2025-07-08,2025-07-02,replacement,145.94,3.113,3.205,10.285,1457,302,Hewlett Packard Enterprise acquired Juniper Networks.
SP500,COIN,2025-05-19,2025-05-16,2025-05-12,replacement,266.46,5.068,4.617,33.685,1029,336,Capital One acquired Discover Financial.
NDX,SHOP,2025-05-19,2025-05-16,,rebalance,110.75,4.299,2.647,,1603,336,MongoDB did not meet the minimum monthly weight requirements.
SP500,DASH,2025-03-24,2025-03-21,2025-03-07,rebalance,190.62,4.925,0.132,5.835,1075,375,Market capitalization changes.
SP500,TKO,2025-03-24,2025-03-21,2025-03-07,rebalance,146.644,4.141,0.069,2.242,1564,375,Market capitalization changes.
SP500,WSM,2025-03-24,2025-03-21,2025-03-07,rebalance,159.9807,5.301,-1.71,-10.294,1564,375,Market capitalization changes.
SP500,EXE,2025-03-24,2025-03-21,2025-03-07,rebalance,102.8645,2.954,1.297,12.195,1033,375,Market capitalization changes.
NDX,AXON,2024-12-23,2024-12-20,2024-12-13,rebalance,631.69,3.891,0.241,-0.742,1504,435,Annual index reconstitution.
